source,src,alt,alt_present
coleccion-classic.php,images/construccion.png,Colección Classic,True
coleccion-classic.php,images/fotos_a_cuadros.png,Colección Classic,True
coleccion-classic.php,images/logo-white@2x.png,PSI,True
coleccion-modern-steel.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
coleccion-modern-steel.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
coleccion-modern-steel.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
coleccion-modern-steel.php,images/verficha.png,Ver ficha técnica,True
coleccion-modern-steel.php,images/liso_rayas.png,,True
coleccion-modern-steel.php,images/modern-steel-1.png,,True
coleccion-modern-steel.php,images/modern-steel-2.png,,True
coleccion-modern-steel.php,images/logo-white@2x.png,PSI,True
com-programadores-digitales-y-rotativos.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
com-programadores-digitales-y-rotativos.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
com-programadores-digitales-y-rotativos.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
com-programadores-digitales-y-rotativos.php,images/com.jpg,COM – Programadores digitales y rotativos,True
com-programadores-digitales-y-rotativos.php,images/logo-white@2x.png,PSI,True
comercial.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
comercial.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
comercial.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
comercial.php,images/qik.jpg,Fraccionamientos y Condominios,True
comercial.php,images/upper.jpg,Estacionamientos,True
comercial.php,images/revolving.jpg,Centros comerciales y hoteles,True
comercial.php,images/star100.jpg,Accesorios y dispositivos de control de acceso y seguridad,True
comercial.php,images/logo-white@2x.png,PSI,True
contacto.php,https://puertasyserviciosindustriales.com/images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
contacto.php,https://puertasyserviciosindustriales.com/images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
contacto.php,https://puertasyserviciosindustriales.com/images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
contacto.php,images/contact-03.jpg,Dirección,True
contacto.php,images/contact.jpg,Teléfono,True
contacto.php,images/contact-04.jpg,Email,True
contacto.php,images/logo-white@2x.png,PSI,True
contra-exposion.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
contra-exposion.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
contra-exposion.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
contra-exposion.php,images/puertaboom.jpg,Puerta contra explosion,True
contra-exposion.php,images/logo-white@2x.png,PSI,True
contra-incendio.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
contra-incendio.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
contra-incendio.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
contra-incendio.php,images/Puerta-contra-incendio.jpg,Puertas contra incendio,True
contra-incendio.php,images/logo-white@2x.png,PSI,True
cortina-de-seguridad-670.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-de-seguridad-670.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-de-seguridad-670.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-de-seguridad-670.php,images/verficha.png,Ver ficha técnica,True
cortina-de-seguridad-670.php,images/cortina-670.jpg,Cortinas ventiladas 685,True
cortina-de-seguridad-670.php,images/cortina-670t.png,Cortinas ventiladas 685,True
cortina-de-seguridad-670.php,images/logo-white@2x.png,PSI,True
cortina-de-seguridad-671.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-de-seguridad-671.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-de-seguridad-671.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-de-seguridad-671.php,images/verficha.png,Ver ficha técnica,True
cortina-de-seguridad-671.php,images/cortina-671.jpg,Cortina de seguridad 671,True
cortina-de-seguridad-671.php,images/cortina-671t.png,Cortina de seguridad 671,True
cortina-de-seguridad-671.php,images/logo-white@2x.png,PSI,True
cortina-en-aluminio-serie-511-521.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-en-aluminio-serie-511-521.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-en-aluminio-serie-511-521.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-en-aluminio-serie-511-521.php,images/verficha.png,Ver ficha técnica,True
cortina-en-aluminio-serie-511-521.php,images/cortina-aluminio.jpg,Cortina en aluminio,True
cortina-en-aluminio-serie-511-521.php,images/logo-white@2x.png,PSI,True
cortina-europea.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-europea.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-europea.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-europea.php,images/verficha.png,Ver ficha técnica,True
cortina-europea.php,images/europea.jpg,Cortina Europea,True
cortina-europea.php,images/cortina_europea.png,Cortinas enrollables industriales,True
cortina-europea.php,images/forma.png,Cortinas enrollables industriales,True
cortina-europea.php,images/logo-white@2x.png,PSI,True
cortina-plana.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-plana.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-plana.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-plana.php,images/verficha.png,Ver ficha técnica,True
cortina-plana.php,images/cortina.jpg,Cortinas enrollables industriales,True
cortina-plana.php,images/cortina2.jpg,Cortinas enrollables industriales,True
cortina-plana.php,images/detalle_plana.png,Cortinas enrollables industriales,True
cortina-plana.php,images/logo-white@2x.png,PSI,True
cortina-serie-600.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-600.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-600.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-600.php,images/verficha.png,Ver ficha técnica,True
cortina-serie-600.php,images/serie-600.jpg,Cortina serie 600,True
cortina-serie-600.php,images/serie_600.png,Colección Classic,True
cortina-serie-600.php,images/logo-white@2x.png,PSI,True
cortina-serie-610.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-610.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-610.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-610.php,images/verficha.png,Ver ficha técnica,True
cortina-serie-610.php,images/rolling-service-doors-610.jpg,Cortina serie 610,True
cortina-serie-610.php,images/logo-white@2x.png,PSI,True
cortina-serie-620.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-620.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-620.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-620.php,images/verficha.png,Ver ficha técnica,True
cortina-serie-620.php,images/cortina-620.jpg,CORTINA 620,True
cortina-serie-620.php,images/logo-white@2x.png,PSI,True
cortina-serie-625.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-625.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-625.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-625.php,images/verficha.png,Ver ficha técnica,True
cortina-serie-625.php,images/rolling-service-door-625-wide.jpg,Cortina serie 625 data-no-retina=,True
cortina-serie-625.php,images/logo-white@2x.png,PSI,True
cortina-serie-630.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-630.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-630.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-630.php,images/verficha.png,Ver ficha técnica,True
cortina-serie-630.php,images/fire-rated-door-630.jpg,Cortina serie 630,True
cortina-serie-630.php,images/logo-white@2x.png,PSI,True
cortina-serie-790-cw.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-790-cw.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-790-cw.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cortina-serie-790-cw.php,images/verficha.png,Ver ficha técnica,True
cortina-serie-790-cw.php,images/rolling-sheet-770-2.jpg,Cortina serie 790,True
cortina-serie-790-cw.php,images/serie_790_001.png,Cortina serie 790,True
cortina-serie-790-cw.php,images/logo-white@2x.png,PSI,True
cortinas-enrollables-de-aluminio.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortinas-enrollables-de-aluminio.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortinas-enrollables-de-aluminio.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cortinas-enrollables-de-aluminio.php,images/cortinas.jpg,Cortinas enrollables de aluminio,True
cortinas-enrollables-de-aluminio.php,images/logo-white@2x.png,PSI,True
cortinas-enrollables-industriales.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortinas-enrollables-industriales.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortinas-enrollables-industriales.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cortinas-enrollables-industriales.php,images/rolling-service-door-625-wide.jpg,Cortina serie 625,True
cortinas-enrollables-industriales.php,images/cortina-aluminio.jpg,Cortina en aluminio serie 511 / 521,True
cortinas-enrollables-industriales.php,images/cortina.jpg,Cortina Plana,True
cortinas-enrollables-industriales.php,images/cortina_europea.png,Cortina Europea,True
cortinas-enrollables-industriales.php,images/rolling-service-door-610-620-625-3.jpg,Cortina serie 620,True
cortinas-enrollables-industriales.php,images/serie790.jpg,Cortina serie 790,True
cortinas-enrollables-industriales.php,images/rolling-service-door-600.jpg,Cortina serie 600,True
cortinas-enrollables-industriales.php,images/fire-rated-door-630.jpg,Cortina serie 630,True
cortinas-enrollables-industriales.php,images/rolling-service-door-610-.jpg,Cortina serie 610,True
cortinas-enrollables-industriales.php,images/cortina-685.jpg,Cortinas ventiladas 685,True
cortinas-enrollables-industriales.php,images/cortina-670.jpg,Cortina de seguridad 670,True
cortinas-enrollables-industriales.php,images/cortina-671.jpg,Cortina de seguridad 671,True
cortinas-enrollables-industriales.php,images/fire-rated.jpg,Fire Rated Doors FireStar® Models 700 & 700c,True
cortinas-enrollables-industriales.php,images/porte-rapide-vertigo-500x500.jpg,VertiGO,True
cortinas-enrollables-industriales.php,images/logo-white@2x.png,PSI,True
cortinas-ventiladas-685.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortinas-ventiladas-685.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cortinas-ventiladas-685.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cortinas-ventiladas-685.php,images/verficha.png,Ver ficha técnica,True
cortinas-ventiladas-685.php,images/cortina-685.jpg,Cortinas ventiladas 685,True
cortinas-ventiladas-685.php,images/logo-white@2x.png,PSI,True
cross-3e.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cross-3e.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
cross-3e.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
cross-3e.php,images/cross-3e.jpg,Cross 30E,True
cross-3e.php,images/logo-white@2x.png,PSI,True
detector-de-masas-max-eagle.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
detector-de-masas-max-eagle.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
detector-de-masas-max-eagle.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
detector-de-masas-max-eagle.php,images/detector.jpg,DETECTOR DE MASAS MAX EAGLE,True
detector-de-masas-max-eagle.php,images/logo-white@2x.png,PSI,True
ditec-neos-y-neos.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
ditec-neos-y-neos.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
ditec-neos-y-neos.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
ditec-neos-y-neos.php,images/cross-3e.jpg,Ditec NeoS y NeoS+,True
ditec-neos-y-neos.php,images/logo-white@2x.png,PSI,True
dockman.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
dockman.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
dockman.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
dockman.php,images/puerta-standard-lift.jpg,Puertas Industriales,True
dockman.php,images/labio.jpg,Labio de elevación mecánico,True
dockman.php,images/sellos.jpg,Sellos de Andén,True
dockman.php,images/coritna_plana.png,Cortina Plana,True
dockman.php,images/cortina_europea.png,Cortina Europea,True
dockman.php,images/Rampa-mecanica-Dockman.jpg,Rampas de Andén Hidráulicas,True
dockman.php,images/Rampa-mecanica-Dockman.jpg,Rampas de Andén Mecánicas,True
dockman.php,images/logo-white@2x.png,PSI,True
dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php,images/dod.jpg,DOD,True
dod-automatizacion-compacto-y-potente-para-portones-seccionales-correderos-y-enrollables.php,images/logo-white@2x.png,PSI,True
doorlock.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
doorlock.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
doorlock.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
doorlock.php,images/puertaboom.jpg,Puerta contra explosion,True
doorlock.php,images/accesorios.jpg,Accesorios,True
doorlock.php,images/blindadas.jpg,Puertas blindadas,True
doorlock.php,images/Puerta-contra-incendio.jpg,Puertas contra incendio,True
doorlock.php,images/2012-10-11_1235.png,Puertas contra rayos x,True
doorlock.php,images/sph.jpg,Puerta estándar,True
doorlock.php,images/Puerta_Standar_Reforzada.png,Puerta estándar reforzada,True
doorlock.php,images/puerta-holandesa.jpg,Puerta Holandesa,True
doorlock.php,images/puerta-metalica-hospital.png,Puerta para hospital,True
doorlock.php,images/puerta-metalica-louver.png,Puerta y fijos Louver,True
doorlock.php,images/logo-white@2x.png,PSI,True
dura-glide-20003000-puerta.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
dura-glide-20003000-puerta.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
dura-glide-20003000-puerta.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
dura-glide-20003000-puerta.php,images/dura.jpg,,True
dura-glide-20003000-puerta.php,images/logo-white@2x.png,PSI,True
energy-series-with-intellicore-37171-3-4.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
energy-series-with-intellicore-37171-3-4.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
energy-series-with-intellicore-37171-3-4.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
energy-series-with-intellicore-37171-3-4.php,images/verficha.png,Ver ficha técnica,True
energy-series-with-intellicore-37171-3-4.php,images/verficha.png,Ver ficha técnica,True
energy-series-with-intellicore-37171-3-4.php,images/energy.jpg,ENERGY SERIES WITH INTELLICORE®,True
energy-series-with-intellicore-37171-3-4.php,images/logo-white@2x.png,PSI,True
energy-series-with-intellicore-3720-3724-3722.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
energy-series-with-intellicore-3720-3724-3722.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
energy-series-with-intellicore-3720-3724-3722.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
energy-series-with-intellicore-3720-3724-3722.php,images/verficha.png,Ver ficha técnica,True
energy-series-with-intellicore-3720-3724-3722.php,images/energy2.jpg,Energy Series With INTELLICORE® 3720 /3724 / 3722,True
energy-series-with-intellicore-3720-3724-3722.php,images/logo-white@2x.png,PSI,True
equipos-y-accesorios-para-anden-de-carga.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
equipos-y-accesorios-para-anden-de-carga.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
equipos-y-accesorios-para-anden-de-carga.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
equipos-y-accesorios-para-anden-de-carga.php,images/rampak.jpg,Rampa Niveladora,True
equipos-y-accesorios-para-anden-de-carga.php,images/labio.jpg,Labio de elevación para anden de carga,True
equipos-y-accesorios-para-anden-de-carga.php,images/retenedor.jpg,Retenedores de vehiculos,True
equipos-y-accesorios-para-anden-de-carga.php,images/sellos.jpg,Sellos para Anden,True
equipos-y-accesorios-para-anden-de-carga.php,images/abrigo.jpg,Semaforos y señalizaciones para anden,True
equipos-y-accesorios-para-anden-de-carga.php,images/logo-white@2x.png,PSI,True
estacionamientos.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
estacionamientos.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
estacionamientos.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
estacionamientos.php,images/moovi50rm.png,Barreras de estacionamiento MOOVI50RM,True
estacionamientos.php,images/Icaro.png,ICARO SMART AC A2000 120,True
estacionamientos.php,images/logo-white@2x.png,PSI,True
fast-seal-high-performance-door.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
fast-seal-high-performance-door.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
fast-seal-high-performance-door.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
fast-seal-high-performance-door.php,images/verficha.png,Ver ficha técnica,True
fast-seal-high-performance-door.php,images/fasts.jpg,Puerta de alto rendimiento Fast-Seal ,True
fast-seal-high-performance-door.php,images/fast.jpg,Fast-Seal® High Performance Door,True
fast-seal-high-performance-door.php,images/logo-white@2x.png,PSI,True
fire-rated-doors-firestar-models-700-700c.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
fire-rated-doors-firestar-models-700-700c.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
fire-rated-doors-firestar-models-700-700c.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
fire-rated-doors-firestar-models-700-700c.php,images/verficha.png,Ver ficha técnica,True
fire-rated-doors-firestar-models-700-700c.php,images/fire-rated.jpg,Fire Rated Doors FireStar® Models 700 & 700c,True
fire-rated-doors-firestar-models-700-700c.php,images/fire-ratedt.jpg,Fire Rated Doors FireStar® Models 700 & 700c,True
fire-rated-doors-firestar-models-700-700c.php,images/logo-white@2x.png,PSI,True
fotoceldas.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
fotoceldas.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
fotoceldas.php,images/logo-black-big@2x.png,PSI | Puertas y Servicios Industriales,True
fotoceldas.php,images/fotoceldas.jpg,Foroceldas,True
fotoceldas.php,images/logo-white@2x.png,PSI,True
fraccionamientos-y-condominios.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
fraccionamientos-y-condominios.php,images/logo-white@2x.png,PSI | Puertas y Servicios Industriales,True
