group_id,group_class,product_ids,review_rows_product,rows_unlocked_total,names,php_files,urls,category_ids,category_names,brand_ids,brand_names,n_images,n_pdfs,diverging_fields,known_conflict_ids,proposed_alternatives,evidence
retenedor-de-vehiculos.php,IDENTITY_EQUIVALENT,22|144,2,2,RETENEDOR DE VEHICULOS ( electrico) MOD HVR303 StrongArmâ„¢,retenedor-de-vehiculos.php,https://puertasyserviciosindustriales.com/retenedor-de-vehiculos.php,22,Retenedores de vehiculos,4,Blue Giant,1,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/1; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
rampa-niveladora-mecanica-blue-giant.php,IDENTITY_EQUIVALENT,23|140,2,2,RAMPA NIVELADORA MECÃNICA BLUE GIANT,rampa-niveladora-mecanica-blue-giant.php,https://puertasyserviciosindustriales.com/rampa-niveladora-mecanica-blue-giant.php,10,Rampa Niveladora,4,Blue Giant,1,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/1; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
star4-vehicle-restraint.php,IDENTITY_EQUIVALENT,25|145,2,2,RETENEDOR DE VEHICULOS STAR4,star4-vehicle-restraint.php,https://puertasyserviciosindustriales.com/star4-vehicle-restraint.php,22,Retenedores de vehiculos,5,Kelley,1,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/1; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
puerta-contra-explosion.php,IDENTITY_EQUIVALENT,26|117,2,2,Puerta contra explosion,puerta-contra-explosion.php,https://puertasyserviciosindustriales.com/puerta-contra-explosion.php,31,Puerta contra explosion,6,Doorlock,2,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 2/2; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
accesorios.php,IDENTITY_EQUIVALENT,27|138,2,2,Accesorios,accesorios.php,https://puertasyserviciosindustriales.com/accesorios.php,20,Accesorios y dispositivos de control de acceso y seguridad,6,Doorlock,2,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 2/2; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
puertas-contra-rayos-x.php,IDENTITY_EQUIVALENT,30|115,2,2,Puertas contra rayos x,puertas-contra-rayos-x.php,https://puertasyserviciosindustriales.com/puertas-contra-rayos-x.php,34,Puertas contra rayos x,6,Doorlock,2,2,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 2/2; pdfs comunes 2/2; hashes PDF distintos 2; duplicados binarios imagen 0
predadoor-nxt-door.php,IDENTITY_EQUIVALENT,37|102,2,2,PredaDoorÂ® NXTÂ® Door,predadoor-nxt-door.php,https://puertasyserviciosindustriales.com/predadoor-nxt-door.php,17,Puertas rÃ¡pidas,7,Rytec,2,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 0/2; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
rapida-enrollable-industrial.php,IDENTITY_EQUIVALENT,38|103,2,2,RÃPIDA ENROLLABLE INDUSTRIAL,rapida-enrollable-industrial.php,https://puertasyserviciosindustriales.com/rapida-enrollable-industrial.php,17,Puertas rÃ¡pidas,8,Infraca Quality Doors,4,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/4; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php,IDENTITY_EQUIVALENT,41|106,2,2,ALUMINA â€“ Puertas rÃ¡pidas autorreparable,kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php,https://puertasyserviciosindustriales.com/kronos-puertas-rapidas-de-sectores-modulares-autorreparable.php,17,Puertas rÃ¡pidas,9,GLG Porter Industriali,1,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/1; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
vertigo.php,IDENTITY_EQUIVALENT,42|100,2,2,VertiGO,vertigo.php,https://puertasyserviciosindustriales.com/vertigo.php,14,Cortinas enrollables,9,GLG Porter Industriali,1,0,db_image_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/1; pdfs comunes 0/0; hashes PDF distintos 0; duplicados binarios imagen 0
serie-x130-motor-para-cortina-oculto.php,IDENTITY_EQUIVALENT,45|83,2,2,SERIE X130 Motor para cortina oculto,serie-x130-motor-para-cortina-oculto.php,https://puertasyserviciosindustriales.com/serie-x130-motor-para-cortina-oculto.php,13,Operadores para puertas seccionales y cortinas enrollables,12,BFT,1,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/1; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
phobos-n-piston-electromecanico.php,IDENTITY_EQUIVALENT,46|111,2,2,PHOBOS N Piston Electromecanico,phobos-n-piston-electromecanico.php,https://puertasyserviciosindustriales.com/phobos-n-piston-electromecanico.php,38,Operadores para puerta abatible,12,BFT,1,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/1; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
puertas-industriales-dockman.php,IDENTITY_EQUIVALENT,50|59,2,2,Puertas Industriales DOCKMAN,puertas-industriales-dockman.php,https://puertasyserviciosindustriales.com/puertas-industriales-dockman.php,8,Puertas Seccionales,10,Dockman,2,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 2/2; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
sellos-de-anden.php,IDENTITY_EQUIVALENT,52|149,2,2,Sellos de AndÃ©n,sellos-de-anden.php,https://puertasyserviciosindustriales.com/sellos-de-anden.php,23,Sellos para Anden,10,Dockman,3,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 3/3; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
rampas-de-anden-hidraulicas.php,IDENTITY_EQUIVALENT,53|141,2,2,Rampas de AndÃ©n HidrÃ¡ulicas,rampas-de-anden-hidraulicas.php,https://puertasyserviciosindustriales.com/rampas-de-anden-hidraulicas.php,10,Rampa Niveladora,10,Dockman,1,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 1/1; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
rampas-de-anden-mecanicas.php,IDENTITY_EQUIVALENT,56|142,2,2,Rampas de AndÃ©n MecÃ¡nicas,rampas-de-anden-mecanicas.php,https://puertasyserviciosindustriales.com/rampas-de-anden-mecanicas.php,10,Rampa Niveladora,10,Dockman,2,1,db_image_ids|db_pdf_ids,,A=ganador unico; B=union de medios; C=solo medios de la pagina publica; D=mantener REVIEW,imgs comunes 2/2; pdfs comunes 1/1; hashes PDF distintos 1; duplicados binarios imagen 0
coleccion-modern-steel.php,EDITORIAL_MERGE,6|16|20|107,4,9,ColecciÃ³n Modern Steelâ„¢,coleccion-modern-steel.php,https://puertasyserviciosindustriales.com/coleccion-modern-steel.php,36,Puertas residenciales,|1|2|3,Clopay|Overhead Door|Wayne Dalton,5,1,brand_id|db_image_ids|db_pdf_ids,107|16|20|6,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen brand_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 1 valor(es) de categoria
puertas-blindadas.php,EDITORIAL_MERGE,28|118|129,3,8,Puerta Blindada || Puertas blindadas,puertas-blindadas.php,https://puertasyserviciosindustriales.com/puertas-blindadas.php,19|19|32|32,Centros comerciales y hoteles|Puertas blindadas,6,Doorlock,3,2,category_id|db_image_ids|db_pdf_ids|name,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids+db_pdf_ids+name; 2 nombre(s) distintos; 3 valor(es) de categoria
puerta-estandar.php,EDITORIAL_MERGE,31|119|131,3,8,Puerta estÃ¡ndar,puerta-estandar.php,https://puertasyserviciosindustriales.com/puerta-estandar.php,19|19|27|27,Centros comerciales y hoteles|Puerta estÃ¡ndar,6,Doorlock,3,2,category_id|db_image_ids|db_pdf_ids,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 3 valor(es) de categoria
cortina-plana.php,EDITORIAL_MERGE,54|89|136,3,8,Cortina Plana,cortina-plana.php,https://puertasyserviciosindustriales.com/cortina-plana.php,14|14|19|19,Centros comerciales y hoteles|Cortinas enrollables,10,Dockman,4,1,category_id|db_image_ids|db_pdf_ids,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 3 valor(es) de categoria
accesspro-fs1000speed.php,EDITORIAL_MERGE,1|109|110|114,4,7,AccessPRO FS1000SPEED,accesspro-fs1000speed.php,https://puertasyserviciosindustriales.com/accesspro-fs1000speed.php,37|37|38|39|38|39,Operadores para puerta abatible|Operadores para puerta corrediza|Operadores para puertas ascendentes,1,Overhead Door,2,1,category_id|db_image_ids|db_pdf_ids,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 4 valor(es) de categoria
puertas-contra-incendio.php,EDITORIAL_MERGE,29|116|130,3,7,Puertas contra incendio,puertas-contra-incendio.php,https://puertasyserviciosindustriales.com/puertas-contra-incendio.php,19|19|33|33,Centros comerciales y hoteles|Puertas contra incendio,6,Doorlock,2,2,category_id|db_image_ids|db_pdf_ids,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 3 valor(es) de categoria
puerta-estandar-reforzada.php,EDITORIAL_MERGE,32|120|132,3,7,Puerta estÃ¡ndar reforzada,puerta-estandar-reforzada.php,https://puertasyserviciosindustriales.com/puerta-estandar-reforzada.php,19|19|28|28,Centros comerciales y hoteles|Puerta estÃ¡ndar reforzada,6,Doorlock,2,2,category_id|db_image_ids|db_pdf_ids,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 3 valor(es) de categoria
cortina-europea.php,EDITORIAL_MERGE,55|90|137,3,7,Cortina Europea,cortina-europea.php,https://puertasyserviciosindustriales.com/cortina-europea.php,14|14|19|19,Centros comerciales y hoteles|Cortinas enrollables,10,Dockman,3,1,category_id|db_image_ids|db_pdf_ids,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 3 valor(es) de categoria
energy-series-with-intellicore-37171-3-4.php,EDITORIAL_MERGE,2|17,2,6,"ENERGY SERIES WITH INTELLICOREÂ® 3717 1 3/4â€³, 3720 /3724 / 3722 || Energy Series With INTELLICOREÂ® 3717 1 3/4""",energy-series-with-intellicore-37171-3-4.php,https://puertasyserviciosindustriales.com/energy-series-with-intellicore-37171-3-4.php,8,Puertas Seccionales,3,Clopay,3,2,db_image_ids|db_pdf_ids|name,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen db_image_ids+db_pdf_ids+name; 2 nombre(s) distintos; 1 valor(es) de categoria
cortina-serie-600.php,EDITORIAL_MERGE,10|93|127,3,6,Cortina serie 600,cortina-serie-600.php,https://puertasyserviciosindustriales.com/cortina-serie-600.php,14|14|19|19,Centros comerciales y hoteles|Cortinas enrollables,1,Overhead Door,2,1,category_id|db_image_ids|db_pdf_ids,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 3 valor(es) de categoria
puertas-seccionales-de-acero-aisladas-thermospan-modelo-150.php,EDITORIAL_MERGE,14|57,2,6,Puertas Seccionales de Acero Aisladas Thermospan Â® Modelo 150 || Puertas Seccionales de Acero Aisladas ThermospanÂ® Modelo 150,puertas-seccionales-de-acero-aisladas-thermospan-modelo-150.php,https://puertasyserviciosindustriales.com/puertas-seccionales-de-acero-aisladas-thermospan-modelo-150.php,8,Puertas Seccionales,|2,Wayne Dalton,3,1,brand_id|db_image_ids|db_pdf_ids|name,14|57,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen brand_id+db_image_ids+db_pdf_ids+name; 2 nombre(s) distintos; 1 valor(es) de categoria
puerta-holandesa.php,EDITORIAL_MERGE,33|122|133,3,6,Puerta Holandesa,puerta-holandesa.php,https://puertasyserviciosindustriales.com/puerta-holandesa.php,19|19|29|29,Centros comerciales y hoteles|Puerta Holandesa,6,Doorlock,2,1,category_id|db_image_ids|db_pdf_ids,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 3 valor(es) de categoria
puerta-y-fijos-louver.php,EDITORIAL_MERGE,35|121|134,3,6,Puerta y fijos Louver,puerta-y-fijos-louver.php,https://puertasyserviciosindustriales.com/puerta-y-fijos-louver.php,19|19|30|30,Centros comerciales y hoteles|Puerta y fijos Louver,6,Doorlock,3,0,category_id|db_image_ids,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids; 1 nombre(s) distintos; 3 valor(es) de categoria
rapida-apilable.php,EDITORIAL_MERGE,39|104,2,6,Puerta rÃ¡pida apilable || RÃPIDA APILABLE,rapida-apilable.php,https://puertasyserviciosindustriales.com/rapida-apilable.php,17,Puertas rÃ¡pidas,8,Infraca Quality Doors,3,1,db_image_ids|db_pdf_ids|name,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen db_image_ids+db_pdf_ids+name; 2 nombre(s) distintos; 1 valor(es) de categoria
rolli-zip.php,EDITORIAL_MERGE,40|105,2,6,ROLLI ZIP Puertas rÃ¡pidas enrollables autorreparabale || ROLLI ZIP Puertas rÃ¡pidas enrollables autorreparable,rolli-zip.php,https://puertasyserviciosindustriales.com/rolli-zip.php,17,Puertas rÃ¡pidas,9,GLG Porter Industriali,3,1,db_image_ids|db_pdf_ids|name,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen db_image_ids+db_pdf_ids+name; 2 nombre(s) distintos; 1 valor(es) de categoria
icaro-smart.php,EDITORIAL_MERGE,49|76|124|126,4,6,ICARO SMART AC A2000 120,icaro-smart.php,https://puertasyserviciosindustriales.com/icaro-smart.php,11|18|9|9|11|18,Estacionamientos|Fraccionamientos y Condominios|Operadores para puerta corrediza,12,BFT,1,1,category_id|db_image_ids|db_pdf_ids,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 4 valor(es) de categoria
fast-seal-high-performance-door.php,EDITORIAL_MERGE,36|101,2,5,Fast-Seal Â® || Fast-SealÂ® High Performance Door,fast-seal-high-performance-door.php,https://puertasyserviciosindustriales.com/fast-seal-high-performance-door.php,17,Puertas rÃ¡pidas,7,Rytec,2,1,db_image_ids|db_pdf_ids|name,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen db_image_ids+db_pdf_ids+name; 2 nombre(s) distintos; 1 valor(es) de categoria
barreras-estacionamiento-moovi50rm.php,EDITORIAL_MERGE,44|123|125|135,4,5,Barreras de estacionamiento MOOVI50RM,barreras-estacionamiento-moovi50rm.php,https://puertasyserviciosindustriales.com/barreras-estacionamiento-moovi50rm.php,18|19|9|9|18|19,Centros comerciales y hoteles|Estacionamientos|Fraccionamientos y Condominios,|12,BFT,1,1,brand_id|category_id|db_image_ids|db_pdf_ids,123|125|135|44,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen brand_id+category_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 4 valor(es) de categoria
p45-7-piston-hidraulico-para-puerta-abatible.php,EDITORIAL_MERGE,47|80|113,3,5,"P4,5-7 Piston Hidraulico para puerta abatible",p45-7-piston-hidraulico-para-puerta-abatible.php,https://puertasyserviciosindustriales.com/p45-7-piston-hidraulico-para-puerta-abatible.php,12|12|38|38,Operadores para puerta abatible,12,BFT,1,1,category_id|db_image_ids|db_pdf_ids,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 3 valor(es) de categoria
labio-de-elevacion-mecanico-dockman.php,EDITORIAL_MERGE,51|143,2,5,Labio de elevaciÃ³n mecÃ¡nico || Labio de elevaciÃ³n mecÃ¡nico Dockman,labio-de-elevacion-mecanico-dockman.php,https://puertasyserviciosindustriales.com/labio-de-elevacion-mecanico-dockman.php,21,Labio de elevaciÃ³n para anden de carga,10,Dockman,2,1,db_image_ids|db_pdf_ids|name,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen db_image_ids+db_pdf_ids+name; 2 nombre(s) distintos; 1 valor(es) de categoria
operador-para-perfilados-comerciales-sel.php,EDITORIAL_MERGE,78|84,2,5,Operador de puerta comercial RMX Â®,operador-para-perfilados-comerciales-sel.php,https://puertasyserviciosindustriales.com/operador-para-perfilados-comerciales-sel.php,11|13,Operadores para puerta corrediza|Operadores para puertas seccionales y cortinas enrollables,1,Overhead Door,2,1,category_id|db_image_ids|db_pdf_ids,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 2 valor(es) de categoria
rampas-de-anden-hidraulicas-kelley.php,EDITORIAL_MERGE,3|24|139,3,4,NIVELADOR DE ANDÃ‰N HIDRÃULICO SERIE HP || Rampas de AndÃ©n HidrÃ¡ulicas || Rampas de AndÃ©n HidrÃ¡ulicas Kelley RAMPA NIVELADORA MECÃNICA BLUE GIANT,rampas-de-anden-hidraulicas-kelley.php,https://puertasyserviciosindustriales.com/rampas-de-anden-hidraulicas-kelley.php,10|7,Rampa Niveladora|Residenciales,|5,Kelley,1,1,brand_id|category_id|db_image_ids|db_pdf_ids|name,139|3,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen brand_id+category_id+db_image_ids+db_pdf_ids+name; 3 nombre(s) distintos; 2 valor(es) de categoria
puerta-seccional-de-acero-thermacore-serie-592.php,EDITORIAL_MERGE,8|62,2,4,Puerta seccional de acero Thermacore serie 592 || Thermacore serie 592,puerta-seccional-de-acero-thermacore-serie-592.php,https://puertasyserviciosindustriales.com/puerta-seccional-de-acero-thermacore-serie-592.php,8,Puertas Seccionales,1,Overhead Door,1,1,db_image_ids|db_pdf_ids|name,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen db_image_ids+db_pdf_ids+name; 2 nombre(s) distintos; 1 valor(es) de categoria
lift-master-mod-h.php,EDITORIAL_MERGE,43|81,2,4,Lift Master Mod H,lift-master-mod-h.php,https://puertasyserviciosindustriales.com/lift-master-mod-h.php,13,Operadores para puertas seccionales y cortinas enrollables,|11,LiftMaster,1,1,brand_id|db_image_ids|db_pdf_ids,43|81,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen brand_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 1 valor(es) de categoria
lux-2b-y-lux-gv-piston-hidraulico-para-puerta-abatible.php,EDITORIAL_MERGE,48|79|112,3,4,LUX 2B y Lux GV Piston hidraulico para puerta abatible,lux-2b-y-lux-gv-piston-hidraulico-para-puerta-abatible.php,https://puertasyserviciosindustriales.com/lux-2b-y-lux-gv-piston-hidraulico-para-puerta-abatible.php,12|12|38|38,Operadores para puerta abatible,12,BFT,1,1,category_id|db_image_ids|db_pdf_ids,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 3 valor(es) de categoria
cortinas-ventiladas-685.php,EDITORIAL_MERGE,96|128,2,4,Cortinas ventiladas 685,cortinas-ventiladas-685.php,https://puertasyserviciosindustriales.com/cortinas-ventiladas-685.php,14|19,Centros comerciales y hoteles|Cortinas enrollables,1,Overhead Door,1,1,category_id|db_image_ids|db_pdf_ids,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen category_id+db_image_ids+db_pdf_ids; 1 nombre(s) distintos; 2 valor(es) de categoria
cortina-en-aluminio-serie-511-521.php,EDITORIAL_MERGE,5|88,2,3,Cortina en aluminio serie 511 / 521 || Cortina en aluminio serie 511/521,cortina-en-aluminio-serie-511-521.php,https://puertasyserviciosindustriales.com/cortina-en-aluminio-serie-511-521.php,14,Cortinas enrollables,1,Overhead Door,1,1,db_image_ids|db_pdf_ids|name,,A=una entidad con varias categorias; B=entidades separadas; C=una entidad + alias de URL; D=mantener REVIEW,divergen db_image_ids+db_pdf_ids+name; 2 nombre(s) distintos; 1 valor(es) de categoria
