legacy_file,legacy_url,classification,title,h1,template_family,database_dependency,proposed_wordpress_type,preserve_url,migration_priority,notes,related_product_ids,classification_confidence,evidence
puerta-seccional-de-acero-perfiles-432-uso-medio.php,https://puertasyserviciosindustriales.com/puerta-seccional-de-acero-perfiles-432-uso-medio.php,PRODUCT_PAGE,Puertas seccionales de acero perfiles 432 (uso medio) | Overhead Door | Marcas ,Puertas seccionales de acero,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,71,STRONG_INFERENCE,page-source-evidence.json:puerta-seccional-de-acero-perfiles-432-uso-medio.php
puerta-seccional-de-acero-sin-aislamiento-416-uso-muy-pesado.php,https://puertasyserviciosindustriales.com/puerta-seccional-de-acero-sin-aislamiento-416-uso-muy-pesado.php,PRODUCT_PAGE,Puertas seccionales de acero sin aislamiento 416 (uso muy pesado) | Overhead Door | Marcas ,Puertas seccionales de acero,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,63,STRONG_INFERENCE,page-source-evidence.json:puerta-seccional-de-acero-sin-aislamiento-416-uso-muy-pesado.php
puerta-seccional-de-acero-sin-aislamiento-424-uso-pesado.php,https://puertasyserviciosindustriales.com/puerta-seccional-de-acero-sin-aislamiento-424-uso-pesado.php,PRODUCT_PAGE,Puerta seccional de acero sin aislamiento 424 (uso pesado) | Overhead Door | Marcas ,Puertas seccionales de acero,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,65,STRONG_INFERENCE,page-source-evidence.json:puerta-seccional-de-acero-sin-aislamiento-424-uso-pesado.php
puerta-seccional-de-acero-thermacore-593-uso-medio.php,https://puertasyserviciosindustriales.com/puerta-seccional-de-acero-thermacore-593-uso-medio.php,PRODUCT_PAGE,Puertas seccionales de acero Thermacore 593 (uso medio) | Overhead Door | Marcas ,Puertas seccionales de acero,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,72,STRONG_INFERENCE,page-source-evidence.json:puerta-seccional-de-acero-thermacore-593-uso-medio.php
puerta-seccional-de-acero-thermacore-594-uso-medio.php,https://puertasyserviciosindustriales.com/puerta-seccional-de-acero-thermacore-594-uso-medio.php,PRODUCT_PAGE,Puertas seccionales de acero Thermacore 594 (uso medio) | Overhead Door | Marcas ,Puertas seccionales de acero,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,73,STRONG_INFERENCE,page-source-evidence.json:puerta-seccional-de-acero-thermacore-594-uso-medio.php
puerta-seccional-de-acero-thermacore-595-uso-pesado.php,https://puertasyserviciosindustriales.com/puerta-seccional-de-acero-thermacore-595-uso-pesado.php,PRODUCT_PAGE,Puertas seccionales de acero Thermacore 593 (uso pesado) | Overhead Door | Marcas ,Puertas seccionales de acero,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:puerta-seccional-de-acero-thermacore-595-uso-pesado.php
puerta-seccional-de-acero-thermacore-599-uso-muy-pesado.php,https://puertasyserviciosindustriales.com/puerta-seccional-de-acero-thermacore-599-uso-muy-pesado.php,PRODUCT_PAGE,Puertas seccionales de acero Thermacore 599 (uso muy pesado) | Overhead Door | Marcas ,Puertas seccionales de acero,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,75,STRONG_INFERENCE,page-source-evidence.json:puerta-seccional-de-acero-thermacore-599-uso-muy-pesado.php
puerta-seccional-de-acero-thermacore-serie-592.php,https://puertasyserviciosindustriales.com/puerta-seccional-de-acero-thermacore-serie-592.php,PRODUCT_PAGE,Puertas seccionales de acero Thermacore serie 592 | Overhead Door | Marcas ,Puertas seccionales de acero,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,8|62,STRONG_INFERENCE,page-source-evidence.json:puerta-seccional-de-acero-thermacore-serie-592.php
puerta-y-fijos-louver.php,https://puertasyserviciosindustriales.com/puerta-y-fijos-louver.php,PRODUCT_PAGE,Puerta y fijos Louver | Doorlock | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,35|121|134,STRONG_INFERENCE,page-source-evidence.json:puerta-y-fijos-louver.php
puertas-blindadas.php,https://puertasyserviciosindustriales.com/puertas-blindadas.php,PRODUCT_PAGE,Puertas blindadas | Doorlock | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,28|118|129,STRONG_INFERENCE,page-source-evidence.json:puertas-blindadas.php
puertas-contra-incendio.php,https://puertasyserviciosindustriales.com/puertas-contra-incendio.php,PRODUCT_PAGE,Puertas contra incendio | Doorlock | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,29|116|130,STRONG_INFERENCE,page-source-evidence.json:puertas-contra-incendio.php
puertas-contra-rayos-x.php,https://puertasyserviciosindustriales.com/puertas-contra-rayos-x.php,PRODUCT_PAGE,Puertas contra rayos X | Doorlock | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,30|115,STRONG_INFERENCE,page-source-evidence.json:puertas-contra-rayos-x.php
puertas-de-garaje-aisladas.php,https://puertasyserviciosindustriales.com/puertas-de-garaje-aisladas.php,SEO_LANDING,PSI | Puertas y Servicios Industriales,Soluciones Residenciales,detalle-estatico,No detected in own source/direct includes; content hardcoded,EDITORIAL_CONTENT,YES,HIGH,"Contenido compuesto/de gama; finalidad SEO es inferencia editorial, no dato SQL",,STRONG_INFERENCE,page-source-evidence.json:puertas-de-garaje-aisladas.php
puertas-enrollables-de-garage.php,https://puertasyserviciosindustriales.com/puertas-enrollables-de-garage.php,SEO_LANDING,PSI | Puertas y Servicios Industriales,Soluciones Residenciales,detalle-estatico,No detected in own source/direct includes; content hardcoded,EDITORIAL_CONTENT,YES,HIGH,"Contenido compuesto/de gama; finalidad SEO es inferencia editorial, no dato SQL",,STRONG_INFERENCE,page-source-evidence.json:puertas-enrollables-de-garage.php
puertas-industriales-dockman.php,https://puertasyserviciosindustriales.com/puertas-industriales-dockman.php,PRODUCT_PAGE,Puertas Industriales | Dockman | Marcas ,Soluciones Residenciales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,50|59,STRONG_INFERENCE,page-source-evidence.json:puertas-industriales-dockman.php
puertas-peatonales-estandar-y-reforzada.php,https://puertasyserviciosindustriales.com/puertas-peatonales-estandar-y-reforzada.php,CATEGORY_PAGE,Puertas estandares y reforzadas | Puertas peatonales de Salida de Emergencia ,Puertas peatonales de Salida de Emergencia,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:puertas-peatonales-estandar-y-reforzada.php
puertas-peatonales-hospitales.php,https://puertasyserviciosindustriales.com/puertas-peatonales-hospitales.php,CATEGORY_PAGE,Puertas para hospitales | PUERTAS PEATONALES PARA HOSPITALES,PUERTAS PEATONALES PARA HOSPITALES,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:puertas-peatonales-hospitales.php
puertas-peatonales-rayos-x.php,https://puertasyserviciosindustriales.com/puertas-peatonales-rayos-x.php,CATEGORY_PAGE,Puertas con protección para rayos X | Puertas peatonales rayos X,Puertas peatonales rayos X,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:puertas-peatonales-rayos-x.php
puertas-peatonales-tipo-holandesa.php,https://puertasyserviciosindustriales.com/puertas-peatonales-tipo-holandesa.php,CATEGORY_PAGE,Puerta holandesa | Puertas peatonales de Salida de Emergencia ,Puertas peatonales de Salida de Emergencia,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:puertas-peatonales-tipo-holandesa.php
puertas-rapidas-enrollables.php,https://puertasyserviciosindustriales.com/puertas-rapidas-enrollables.php,SEO_LANDING,Puertas rápidas enrollables | Soluciones ,Soluciones Residenciales,detalle-estatico,No detected in own source/direct includes; content hardcoded,EDITORIAL_CONTENT,YES,HIGH,"Contenido compuesto/de gama; finalidad SEO es inferencia editorial, no dato SQL",,STRONG_INFERENCE,page-source-evidence.json:puertas-rapidas-enrollables.php
puertas-rapidas.php,https://puertasyserviciosindustriales.com/puertas-rapidas.php,CATEGORY_PAGE,Puertas rápidas industriales | Soluciones ,Soluciones Residenciales,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:puertas-rapidas.php
puertas-residenciales.php,https://puertasyserviciosindustriales.com/puertas-residenciales.php,SEO_LANDING,Puertas Residenciales | Soluciones Residenciales,Soluciones Residenciales,detalle-estatico,No detected in own source/direct includes; content hardcoded,EDITORIAL_CONTENT,YES,HIGH,"Contenido compuesto/de gama; finalidad SEO es inferencia editorial, no dato SQL",,STRONG_INFERENCE,page-source-evidence.json:puertas-residenciales.php
puertas-salida-emergencia.php,https://puertasyserviciosindustriales.com/puertas-salida-emergencia.php,CATEGORY_PAGE,Puertas para salidas de emergencia | Puertas Peatonales de Emergencia,PUERTAS PEATONALES SALIDA DE EMERGENCIA,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:puertas-salida-emergencia.php
puertas-seccionales-de-acero-aisladas-thermospan-modelo-150.php,https://puertasyserviciosindustriales.com/puertas-seccionales-de-acero-aisladas-thermospan-modelo-150.php,PRODUCT_PAGE,Puertas Seccionales de Acero Aisladas Thermospan ® | Wayne Dalton | Marcas ,Soluciones Residenciales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Hay paginas equivalentes candidatas; sin fusion ni redirect,14|57,STRONG_INFERENCE,page-source-evidence.json:puertas-seccionales-de-acero-aisladas-thermospan-modelo-150.php
puertas-seccionales-de-acero-aisladas-thermospan.php,https://puertasyserviciosindustriales.com/puertas-seccionales-de-acero-aisladas-thermospan.php,PRODUCT_PAGE,Puertas Seccionales de Acero Aisladas Thermospan ® | Wayne Dalton | Marcas ,Soluciones Residenciales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,14|57,STRONG_INFERENCE,page-source-evidence.json:puertas-seccionales-de-acero-aisladas-thermospan.php
puertas-seccionales-de-acero-modelo-2415.php,https://puertasyserviciosindustriales.com/puertas-seccionales-de-acero-modelo-2415.php,PRODUCT_PAGE,Puertas Seccionales de Acero Modelo 2415 | Wayne Dalton | Marcas ,Puertas seccionales de acero,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,15|60,STRONG_INFERENCE,page-source-evidence.json:puertas-seccionales-de-acero-modelo-2415.php
puertas-seccionales-de-acero-perfiles-426.php,https://puertasyserviciosindustriales.com/puertas-seccionales-de-acero-perfiles-426.php,PRODUCT_PAGE,Puertas seccionales de acero perfiles 426 | Overhead Door | Marcas ,Puertas seccionales de acero,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,70,STRONG_INFERENCE,page-source-evidence.json:puertas-seccionales-de-acero-perfiles-426.php
puertas-seccionales-de-acero-sin-aislamiento-420-uso-pesado.php,https://puertasyserviciosindustriales.com/puertas-seccionales-de-acero-sin-aislamiento-420-uso-pesado.php,PRODUCT_PAGE,Puertas seccionales de acero sin aislamiento 420 (uso pesado) | Overhead Door | Marcas ,Puertas seccionales de acero,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,64,STRONG_INFERENCE,page-source-evidence.json:puertas-seccionales-de-acero-sin-aislamiento-420-uso-pesado.php
puertas-seccionales-de-acero-thermacore-598-uso-liviano.php,https://puertasyserviciosindustriales.com/puertas-seccionales-de-acero-thermacore-598-uso-liviano.php,PRODUCT_PAGE,Puerta seccional de acero thermacore 525 | Overhead Door | Marcas ,Puertas seccionales de acero,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,74,STRONG_INFERENCE,page-source-evidence.json:puertas-seccionales-de-acero-thermacore-598-uso-liviano.php
puertas-seccionales-de-aluminio-521.php,https://puertasyserviciosindustriales.com/puertas-seccionales-de-aluminio-521.php,PRODUCT_PAGE,Puerta seccional de aluminio 521 | Overhead Door | Marcas ,Puertas seccionales de,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,67,STRONG_INFERENCE,page-source-evidence.json:puertas-seccionales-de-aluminio-521.php
puertas-seccionales-industriales.php,https://puertasyserviciosindustriales.com/puertas-seccionales-industriales.php,CATEGORY_PAGE,Puertas seccionales industriales | Soluciones ,Soluciones,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:puertas-seccionales-industriales.php
puertas-y-fijos-louver.php,https://puertasyserviciosindustriales.com/puertas-y-fijos-louver.php,CATEGORY_PAGE,Puertas tipo Louver y holandesa | Puertas peatonales de Salida de Emergencia ,Puertas peatonales de Salida de Emergencia,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:puertas-y-fijos-louver.php
puertasresidenciales.php,https://puertasyserviciosindustriales.com/puertasresidenciales.php,CATEGORY_PAGE,Puertas Residenciales | Residencial ,Residencial,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:puertasresidenciales.php
q-silent-max-eagle-3-4-hp.php,https://puertasyserviciosindustriales.com/q-silent-max-eagle-3-4-hp.php,PRODUCT_PAGE,Operadores para puertas abatibles | Overhead Door | Marcas ,Soluciones Residenciales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,1|109|110|114,STRONG_INFERENCE,page-source-evidence.json:q-silent-max-eagle-3-4-hp.php
qik-barreras-automaticas-de-hasta-58-m.php,https://puertasyserviciosindustriales.com/qik-barreras-automaticas-de-hasta-58-m.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:qik-barreras-automaticas-de-hasta-58-m.php
rampa-niveladora-mecanica-blue-giant.php,https://puertasyserviciosindustriales.com/rampa-niveladora-mecanica-blue-giant.php,PRODUCT_PAGE,RAMPA NIVELADORA MECÁNICA | Blue Giant | Marcas ,RAMPA NIVELADORA MECÁNICA,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,23|140,STRONG_INFERENCE,page-source-evidence.json:rampa-niveladora-mecanica-blue-giant.php
rampa-niveladora.php,https://puertasyserviciosindustriales.com/rampa-niveladora.php,CATEGORY_PAGE,Rampa Niveladora | Equipos y Accesorios para Anden de Carga ,Equipos y Accesorios para Anden de Carga,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:rampa-niveladora.php
rampas-de-anden-hidraulicas-kelley.php,https://puertasyserviciosindustriales.com/rampas-de-anden-hidraulicas-kelley.php,PRODUCT_PAGE,Rampas de Andén Hidráulicas | Kelley | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,3|24|139,STRONG_INFERENCE,page-source-evidence.json:rampas-de-anden-hidraulicas-kelley.php
rampas-de-anden-hidraulicas.php,https://puertasyserviciosindustriales.com/rampas-de-anden-hidraulicas.php,PRODUCT_PAGE,Rampas de Andén Hidráulicas | Dockman | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,53|141,STRONG_INFERENCE,page-source-evidence.json:rampas-de-anden-hidraulicas.php
rampas-de-anden-mecanicas.php,https://puertasyserviciosindustriales.com/rampas-de-anden-mecanicas.php,PRODUCT_PAGE,Rampas de Andén Mecánicas | Dockman | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,56|142,STRONG_INFERENCE,page-source-evidence.json:rampas-de-anden-mecanicas.php
rapida-apilable.php,https://puertasyserviciosindustriales.com/rapida-apilable.php,PRODUCT_PAGE,RÁPIDA ENROLLABLE INDUSTRIAL | Infraca Quality Doors | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,39|104,STRONG_INFERENCE,page-source-evidence.json:rapida-apilable.php
rapida-enrollable-industrial.php,https://puertasyserviciosindustriales.com/rapida-enrollable-industrial.php,PRODUCT_PAGE,RÁPIDA ENROLLABLE INDUSTRIAL | Infraca Quality Doors | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,38|103,STRONG_INFERENCE,page-source-evidence.json:rapida-enrollable-industrial.php
receptor-para-control-vehiculos.php,https://puertasyserviciosindustriales.com/receptor-para-control-vehiculos.php,CATEGORY_PAGE,Receptor para control de paso de vehiculos | Soluciones comerciales,Soluciones Comerciales,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:receptor-para-control-vehiculos.php
residencial.php,https://puertasyserviciosindustriales.com/residencial.php,CATEGORY_PAGE,Residencial | Soluciones ,Soluciones,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:residencial.php
retenedor-de-vehiculos.php,https://puertasyserviciosindustriales.com/retenedor-de-vehiculos.php,PRODUCT_PAGE,RETENEDOR DE VEHICULOS ( electrico) MOD HVR303 StrongArm™ | Blue Giant | Marcas ,RETENEDOR DE VEHICULOS ( electrico),detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,22|144,STRONG_INFERENCE,page-source-evidence.json:retenedor-de-vehiculos.php
retenedor-vehiculos-hvr303.php,https://puertasyserviciosindustriales.com/retenedor-vehiculos-hvr303.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,RETENEDOR DE VEHICULOS ( eléctrico),detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,146,STRONG_INFERENCE,page-source-evidence.json:retenedor-vehiculos-hvr303.php
retenedores-de-vehiculos-automatico.php,https://puertasyserviciosindustriales.com/retenedores-de-vehiculos-automatico.php,PRODUCT_PAGE,RETENEDORES DE VEHICULOS AUTOMATICO TPR | Dockman | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:retenedores-de-vehiculos-automatico.php
retenedores-de-vehiculos.php,https://puertasyserviciosindustriales.com/retenedores-de-vehiculos.php,CATEGORY_PAGE,Retenedores de Vehiculos | Equipos y Accesorios para Anden de Carga ,Equipos y Accesorios para Anden de Carga,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:retenedores-de-vehiculos.php
rolli-zip.php,https://puertasyserviciosindustriales.com/rolli-zip.php,PRODUCT_PAGE,ROLLI ZIP | GLG Porte Industriali | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,40|105,STRONG_INFERENCE,page-source-evidence.json:rolli-zip.php
rytec.php,https://puertasyserviciosindustriales.com/rytec.php,BRAND_PAGE,Rytec | Marcas ,Marcas,listado-marca,No detected in own source/direct includes; content hardcoded,BRAND_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:rytec.php
sector-puertas-rapidas-enrollables-de-sectores-intercambiables-y-contrapesos.php,https://puertasyserviciosindustriales.com/sector-puertas-rapidas-enrollables-de-sectores-intercambiables-y-contrapesos.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:sector-puertas-rapidas-enrollables-de-sectores-intercambiables-y-contrapesos.php
sector-reset.php,https://puertasyserviciosindustriales.com/sector-reset.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:sector-reset.php
sellos-de-anden.php,https://puertasyserviciosindustriales.com/sellos-de-anden.php,PRODUCT_PAGE,Sellos de Andén | Dockman | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,52|149,STRONG_INFERENCE,page-source-evidence.json:sellos-de-anden.php
sellos-nacionales.php,https://puertasyserviciosindustriales.com/sellos-nacionales.php,PRODUCT_PAGE,Sellos Nacionales | Dockman | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,150,STRONG_INFERENCE,page-source-evidence.json:sellos-nacionales.php
sellos-para-anden-shelter-de-soporte-flexible.php,https://puertasyserviciosindustriales.com/sellos-para-anden-shelter-de-soporte-flexible.php,PRODUCT_PAGE,SELLOS PARA ANDEN – SHELTER DE SOPORTE FLEXIBLE | Dockman | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,148,STRONG_INFERENCE,page-source-evidence.json:sellos-para-anden-shelter-de-soporte-flexible.php
sellos-para-anden.php,https://puertasyserviciosindustriales.com/sellos-para-anden.php,CATEGORY_PAGE,Sellos para anden | Equipos y Accesorios para Anden de Carga ,Equipos y Accesorios para Anden de Carga,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:sellos-para-anden.php
semaforos-senalizaciones-para-anden.php,https://puertasyserviciosindustriales.com/semaforos-senalizaciones-para-anden.php,CATEGORY_PAGE,Semaforos y señalizaciones para anden | Equipos y Accesorios para Anden de Carga ,Equipos y Accesorios para Anden de Carga,listado-estatico,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:semaforos-senalizaciones-para-anden.php
serie-620.php,https://puertasyserviciosindustriales.com/serie-620.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,7|91,STRONG_INFERENCE,page-source-evidence.json:serie-620.php
serie-x130-motor-para-cortina-oculto.php,https://puertasyserviciosindustriales.com/serie-x130-motor-para-cortina-oculto.php,PRODUCT_PAGE,SERIE X130 Motor para cortina oculto | BFT | Marcas ,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,45|83,STRONG_INFERENCE,page-source-evidence.json:serie-x130-motor-para-cortina-oculto.php
sg-onixx-600.php,https://puertasyserviciosindustriales.com/sg-onixx-600.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:sg-onixx-600.php
shelter-abrigo-estacionario-blue-giant.php,https://puertasyserviciosindustriales.com/shelter-abrigo-estacionario-blue-giant.php,PRODUCT_PAGE,ABRIGO ESTACIONARIO BG400 | Blue Giant | Marcas ,SHELTER ABRIGO ESTACIONARIO Blue Giant,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,,21|147,STRONG_INFERENCE,page-source-evidence.json:shelter-abrigo-estacionario-blue-giant.php
smart-puertas-rapidas-enrollables-de-sectores-intercambiables-con-motor-externo.php,https://puertasyserviciosindustriales.com/smart-puertas-rapidas-enrollables-de-sectores-intercambiables-con-motor-externo.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Soluciones Industriales,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:smart-puertas-rapidas-enrollables-de-sectores-intercambiables-con-motor-externo.php
soluciones.php,https://puertasyserviciosindustriales.com/soluciones.php,CATEGORY_PAGE,"Industrial, Residencial y Marcas | Soluciones ",Servicios,soluciones,No detected in own source/direct includes; content hardcoded,NAVIGATION_CONTENT,YES,HIGH,,,CONFIRMED,page-source-evidence.json:soluciones.php
sprint-automatizaciones-para-puertas-peatonales-pequenas-dimensiones.php,https://puertasyserviciosindustriales.com/sprint-automatizaciones-para-puertas-peatonales-pequenas-dimensiones.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,SPRINT – Automatizaciónes para puertas,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:sprint-automatizaciones-para-puertas-peatonales-pequenas-dimensiones.php
star1000-receptor-comercial.php,https://puertasyserviciosindustriales.com/star1000-receptor-comercial.php,PRODUCT_PAGE,PSI | Puertas y Servicios Industriales,Productos Marca BFT,detalle-estatico,No detected in own source/direct includes; content hardcoded,PRODUCT_CONTENT_CANDIDATE,YES,HIGH,Producto/familia solo en PHP; no hay correspondencia SQL fuerte; MUST preserve content,,STRONG_INFERENCE,page-source-evidence.json:star1000-receptor-comercial.php
