legacy_product_id,legacy_php,legacy_url,name,proposed_slug,category_id,category_confidence,brand_id,brand_confidence,images,technical_pdf,video,template_family,source_of_relationship,migration_status,notes
,gol-transmisores-de-cuatro-canales.php,https://puertasyserviciosindustriales.com/gol-transmisores-de-cuatro-canales.php,Transmisores ZEN|ENTREMATIC ZEN: EL TRANSMISOR ADECUADO PARA TODAS LAS NECESIDADES,gol-transmisores-de-cuatro-canales,,UNKNOWN,,UNKNOWN,images/zen.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,lab-4-fotocelulas-de-rayos-infrarrojos.php,https://puertasyserviciosindustriales.com/lab-4-fotocelulas-de-rayos-infrarrojos.php,LIN2 Fotocélulas de rayos infrarrojos|Fotocélulas,lab-4-fotocelulas-de-rayos-infrarrojos,,UNKNOWN,,UNKNOWN,images/lin2.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,lab-9-detectores-de-volumen-de-metal-loop.php,https://puertasyserviciosindustriales.com/lab-9-detectores-de-volumen-de-metal-loop.php,Detector de lazo magnético,lab-9-detectores-de-volumen-de-metal-loop,,UNKNOWN,,UNKNOWN,images/lazo.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,lan-4-sistema-de-teclado-con-combinacion-digital.php,https://puertasyserviciosindustriales.com/lan-4-sistema-de-teclado-con-combinacion-digital.php,"LAN 4 – Teclado con combinación digital|Con llave o teclado numérico de combinación, permiten una protección del mando y garantizan que el acceso sea reservado",lan-4-sistema-de-teclado-con-combinacion-digital,,UNKNOWN,,UNKNOWN,images/lan.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,lan-7-sistema-de-mando-de-proximidad-de-tarjetas-con-tecnologia-transponder.php,https://puertasyserviciosindustriales.com/lan-7-sistema-de-mando-de-proximidad-de-tarjetas-con-tecnologia-transponder.php,Sistemas de mando de proximidad con tecnología transponder,lan-7-sistema-de-mando-de-proximidad-de-tarjetas-con-tecnologia-transponder,,UNKNOWN,,UNKNOWN,images/lan7.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,light-communication-system-lcs.php,https://puertasyserviciosindustriales.com/light-communication-system-lcs.php,Light Communication System (LCS),light-communication-system-lcs,,UNKNOWN,,UNKNOWN,images/semaforo.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,luxo-robusto-e-incansable-para-servicios-intensivos-para-hojas-de-hasta-5-m.php,https://puertasyserviciosindustriales.com/luxo-robusto-e-incansable-para-servicios-intensivos-para-hojas-de-hasta-5-m.php,"PWR Robusto e incansable, para servicios intensivos, para hojas de hasta 5 mts.",luxo-robusto-e-incansable-para-servicios-intensivos-para-hojas-de-hasta-5-m,,UNKNOWN,,UNKNOWN,images/ditecc.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,magic-fuerza-del-operador.php,https://puertasyserviciosindustriales.com/magic-fuerza-del-operador.php,Puerta Holandesa,magic-fuerza-del-operador,,UNKNOWN,,UNKNOWN,images/magic.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,pas-sensores-volumetricos.php,https://puertasyserviciosindustriales.com/pas-sensores-volumetricos.php,PAS – Sensores volumétricos,pas-sensores-volumetricos,,UNKNOWN,,UNKNOWN,images/pas.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,puerta-seccional-de-acero-thermacore-595-uso-pesado.php,https://puertasyserviciosindustriales.com/puerta-seccional-de-acero-thermacore-595-uso-pesado.php,Thermacore 593 (uso pesado),puerta-seccional-de-acero-thermacore-595-uso-pesado,,UNKNOWN,,UNKNOWN,images/verficha.png|images/thermacore-sectional-door-593-wide.jpg|images/puerta595t.png,fichas/puerta-thermacore-595.pdf,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,qik-barreras-automaticas-de-hasta-58-m.php,https://puertasyserviciosindustriales.com/qik-barreras-automaticas-de-hasta-58-m.php,"QIK – Barreras automaticas de hasta 5,8 m",qik-barreras-automaticas-de-hasta-58-m,,UNKNOWN,,UNKNOWN,images/qik.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,retenedores-de-vehiculos-automatico.php,https://puertasyserviciosindustriales.com/retenedores-de-vehiculos-automatico.php,RETENEDORES DE VEHICULOS AUTOMATICO TPR|Restricción automática del vehículo TPR®,retenedores-de-vehiculos-automatico,,UNKNOWN,,UNKNOWN,images/verficha.png|images/tpr.jpg|images/2025-08-21_16h18_34.png,fichas/Retenedor-de-vehiculos-automatico.pdf,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,sector-puertas-rapidas-enrollables-de-sectores-intercambiables-y-contrapesos.php,https://puertasyserviciosindustriales.com/sector-puertas-rapidas-enrollables-de-sectores-intercambiables-y-contrapesos.php,Sector Plus,sector-puertas-rapidas-enrollables-de-sectores-intercambiables-y-contrapesos,,UNKNOWN,,UNKNOWN,images/splus.jpg|images/rolli.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,sector-reset.php,https://puertasyserviciosindustriales.com/sector-reset.php,Sector Reset,sector-reset,,UNKNOWN,,UNKNOWN,images/sector.jpg|images/sector1.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,sg-onixx-600.php,https://puertasyserviciosindustriales.com/sg-onixx-600.php,Ditec Cross 18/19|EL AUTOMATISMO ENSAYADO PARA DURAR,sg-onixx-600,,UNKNOWN,,UNKNOWN,images/cross18.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,smart-puertas-rapidas-enrollables-de-sectores-intercambiables-con-motor-externo.php,https://puertasyserviciosindustriales.com/smart-puertas-rapidas-enrollables-de-sectores-intercambiables-con-motor-externo.php,SMART – PLUS,smart-puertas-rapidas-enrollables-de-sectores-intercambiables-con-motor-externo,,UNKNOWN,,UNKNOWN,images/smart.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,sprint-automatizaciones-para-puertas-peatonales-pequenas-dimensiones.php,https://puertasyserviciosindustriales.com/sprint-automatizaciones-para-puertas-peatonales-pequenas-dimensiones.php,abatibles peatonales pequeñas dimensiones|SENCILLAMENTE TODO EL CONFORT QUE SIEMPRE HAS SOÑADO,sprint-automatizaciones-para-puertas-peatonales-pequenas-dimensiones,,UNKNOWN,,UNKNOWN,images/sprint.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,star1000-receptor-comercial.php,https://puertasyserviciosindustriales.com/star1000-receptor-comercial.php,STAR1000 Receptor comercial,star1000-receptor-comercial,,UNKNOWN,,UNKNOWN,images/star100.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,traffic.php,https://puertasyserviciosindustriales.com/traffic.php,Traffic,traffic,,UNKNOWN,,UNKNOWN,images/traffic.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,upper-up8e-barreras-automaticas-de-hasta-8-m.php,https://puertasyserviciosindustriales.com/upper-up8e-barreras-automaticas-de-hasta-8-m.php,UPPER UP8E – Barreras automaticas de hasta 8 m,upper-up8e-barreras-automaticas-de-hasta-8-m,,UNKNOWN,,UNKNOWN,images/upper.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,wel-aotmatizacion-de-puertas-peatonales-pequena-y-robusta.php,https://puertasyserviciosindustriales.com/wel-aotmatizacion-de-puertas-peatonales-pequena-y-robusta.php,abatibles peatonales uso intensivo|Ditec DAB105 EL AUTOMATISMO INTELIGENTE QUE TE SIMPLIFICA LA VIDA|Ditec DAB205|Ditec DAB305,wel-aotmatizacion-de-puertas-peatonales-pequena-y-robusta,,UNKNOWN,,UNKNOWN,images/dab.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
,xel-5-selector-de-llave.php,https://puertasyserviciosindustriales.com/xel-5-selector-de-llave.php,XEL 5 – Selector de llave,xel-5-selector-de-llave,,UNKNOWN,,UNKNOWN,images/xel5.jpg,,,detalle-estatico,,SHOULD_MIGRATE,Contenido de producto/familia solo PHP; encabezados pueden estar copiados; sin fabricante/categoria canonicos asignados. Preservar texto y URL.
