source_type,source_key,rule_id,old_action,new_action,evidence,result
media,asset:system/files/images/productos/3e620ed84c43c5de234ae437f58f7083e93f6b8d,R-M01,REVIEW,REVIEW,"product-media-relations.csv path=system/files/images/productos/3e620ed84c43c5de234ae437f58f7083e93f6b8d products=77","REVERTED: MEDIA_VALIDATION_OR_HASH"
media,asset:system/files/images/productos/4008a0704b50eb6ada4e7733d8a9dc5c331e0163,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/4008a0704b50eb6ada4e7733d8a9dc5c331e0163 products=148","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/596d0d25e474bb84a449cda4680a73db1491f809,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/596d0d25e474bb84a449cda4680a73db1491f809 products=65","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/5ebb1b9e7cdf30669798fa316af64842a73c5a56,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/5ebb1b9e7cdf30669798fa316af64842a73c5a56 products=72","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/5f90d35f71ae101ed088c67403da1540d91d1192,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/5f90d35f71ae101ed088c67403da1540d91d1192 products=71","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/639b9801fe440dcd2179c23cca14401710c5e7e0,R-M01,REVIEW,REVIEW,"product-media-relations.csv path=system/files/images/productos/639b9801fe440dcd2179c23cca14401710c5e7e0 products=65|66","REVERTED: MEDIA_VALIDATION_OR_HASH"
media,asset:system/files/images/productos/72df998778c03bc863d043d89ff44bd56b0095ab,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/72df998778c03bc863d043d89ff44bd56b0095ab products=95","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/7ab52eec612af22d23a62f849479371ebf1c2f22,R-M01,REVIEW,REVIEW,"product-media-relations.csv path=system/files/images/productos/7ab52eec612af22d23a62f849479371ebf1c2f22 products=68|69","REVERTED: MEDIA_VALIDATION_OR_HASH"
media,asset:system/files/images/productos/7baea774c5fc4abe3735d40fdf16e84f1e3521ef,R-M01,REVIEW,REVIEW,"product-media-relations.csv path=system/files/images/productos/7baea774c5fc4abe3735d40fdf16e84f1e3521ef products=72|73","REVERTED: MEDIA_VALIDATION_OR_HASH"
media,asset:system/files/images/productos/7cf4babfab2712e41d6fd1c050f5c31b604c97ae,R-M01,REVIEW,REVIEW,"product-media-relations.csv path=system/files/images/productos/7cf4babfab2712e41d6fd1c050f5c31b604c97ae products=67","REVERTED: MEDIA_VALIDATION_OR_HASH"
media,asset:system/files/images/productos/85f5ef81d1ffa0cfcefdd5914c8d6d54a6bc3c4b,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/85f5ef81d1ffa0cfcefdd5914c8d6d54a6bc3c4b products=85","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/98b07de6dca4ad402a37385c485fb6999d5c3323,R-M01,REVIEW,REVIEW,"product-media-relations.csv path=system/files/images/productos/98b07de6dca4ad402a37385c485fb6999d5c3323 products=95","REVERTED: MEDIA_VALIDATION_OR_HASH"
media,asset:system/files/images/productos/a7febe38bfa295bb6907789a9d0f008c6319b962,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/a7febe38bfa295bb6907789a9d0f008c6319b962 products=77","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/ae385af43a5d1494c0f807d48c05b5b3c3576afe,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/ae385af43a5d1494c0f807d48c05b5b3c3576afe products=34","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/cd8dcba8c3cdd3597f73eff14285d6e0c759fda1,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/cd8dcba8c3cdd3597f73eff14285d6e0c759fda1 products=63","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/d408fb7a83adf1cd66a9048080210be3b617cb29,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/d408fb7a83adf1cd66a9048080210be3b617cb29 products=92","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/dbf978defab57f25bca7206c939b17e9c1b8749d,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/dbf978defab57f25bca7206c939b17e9c1b8749d products=66","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/e18f93b233e92c3c13b45b7654d4712f4748fe8b,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/e18f93b233e92c3c13b45b7654d4712f4748fe8b products=97","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/e255e142299e7b62e25690084deb0bb49408f332,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/e255e142299e7b62e25690084deb0bb49408f332 products=85","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/e4c215da7672e0ff5d8c7c6b12eaa6e027b73969,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/e4c215da7672e0ff5d8c7c6b12eaa6e027b73969 products=74","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/e7a01529a67d2e176caece591f7981360e4805ff,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/e7a01529a67d2e176caece591f7981360e4805ff products=97|98","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/ec069aaf1b98181850d5f11ac0069b719063f855,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/ec069aaf1b98181850d5f11ac0069b719063f855 products=69","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/f02304a5117f7e8cc52916b2995eee7d5cd3bdf7,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/f02304a5117f7e8cc52916b2995eee7d5cd3bdf7 products=92","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/f3eecd701088dbca1956b577ef1de1c1762edced,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/f3eecd701088dbca1956b577ef1de1c1762edced products=75","APPLIED (dry run only; not executed)"
media,asset:system/files/images/productos/fce70ded3bd3b58293eed84c658aedaa60d10a2e,R-M01,REVIEW,CREATE,"product-media-relations.csv path=system/files/images/productos/fce70ded3bd3b58293eed84c658aedaa60d10a2e products=73","APPLIED (dry run only; not executed)"
media,asset:multimedia/imagenes/categorias/0068b4920fb7283782a51c12e22e83686e6bd310.png,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/0068b4920fb7283782a51c12e22e83686e6bd310.png usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=116",APPLIED
media,asset:multimedia/imagenes/categorias/00e4add1010b274fe68755addced6372d5ed3f1b.png,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/00e4add1010b274fe68755addced6372d5ed3f1b.png usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=108",APPLIED
media,asset:multimedia/imagenes/categorias/029f3af9b38f6de9dedfacf27a27f0626f6da812.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/029f3af9b38f6de9dedfacf27a27f0626f6da812.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=44",APPLIED
media,asset:multimedia/imagenes/categorias/05a5c6c2cbadcb574afa2faefb344ef1eb9dd6e5.png,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/05a5c6c2cbadcb574afa2faefb344ef1eb9dd6e5.png usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED|EXACT_DUPLICATE_BYTES original_ids=108",APPLIED
media,asset:multimedia/imagenes/categorias/06628bf29f4379c812bb4a3772a785d45a5453fd.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/06628bf29f4379c812bb4a3772a785d45a5453fd.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=72",APPLIED
media,asset:multimedia/imagenes/categorias/0a09543a3babd4af8c7ec51dde1568aa91104888.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/0a09543a3babd4af8c7ec51dde1568aa91104888.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=44",APPLIED
media,asset:multimedia/imagenes/categorias/0b171bb0fab4ef2ff35f6565e00d00dce803931c.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/0b171bb0fab4ef2ff35f6565e00d00dce803931c.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=160",APPLIED
media,asset:multimedia/imagenes/categorias/0cfb58d8f2f64de5560d5d5b3143eede8a398f5e.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/0cfb58d8f2f64de5560d5d5b3143eede8a398f5e.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=76",APPLIED
media,asset:multimedia/imagenes/categorias/0ea36d903ea29b6aa97f368f15c9696c18c54303.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/0ea36d903ea29b6aa97f368f15c9696c18c54303.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=128",APPLIED
media,asset:multimedia/imagenes/categorias/0edf5e776fb7c7d5fb15c1a67320df1dbaaa07fd.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/0edf5e776fb7c7d5fb15c1a67320df1dbaaa07fd.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=60|68",APPLIED
media,asset:multimedia/imagenes/categorias/0f6740d1e3a9e75151f0c89af3f2832253d394c6.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/0f6740d1e3a9e75151f0c89af3f2832253d394c6.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=156",APPLIED
media,asset:multimedia/imagenes/categorias/0f9e3e6b05fba1419f7cfc6a265335db09db367a.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/0f9e3e6b05fba1419f7cfc6a265335db09db367a.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=80",APPLIED
media,asset:multimedia/imagenes/categorias/1273b44cb7fea331d80071724f13afdf72a997e7.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/1273b44cb7fea331d80071724f13afdf72a997e7.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=27",APPLIED
media,asset:multimedia/imagenes/categorias/17a21eba3e7af6ee97482516ddad6a5b42e19bcf.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/17a21eba3e7af6ee97482516ddad6a5b42e19bcf.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=120",APPLIED
media,asset:multimedia/imagenes/categorias/181faae1dcfb99c61b24f4b1b55bf54eb39bec74.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/181faae1dcfb99c61b24f4b1b55bf54eb39bec74.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=156",APPLIED
media,asset:multimedia/imagenes/categorias/1f08c992ec5ff11246b3c2c99fab1a38f63cd586.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/1f08c992ec5ff11246b3c2c99fab1a38f63cd586.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=84",APPLIED
media,asset:multimedia/imagenes/categorias/21fa9a025a79c31b3f94d18bb88051a29cd1feac.png,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/21fa9a025a79c31b3f94d18bb88051a29cd1feac.png usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=116",APPLIED
media,asset:multimedia/imagenes/categorias/2796b3a1d22bbf5e8f406e7a5dcdc12c553c9cff.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/2796b3a1d22bbf5e8f406e7a5dcdc12c553c9cff.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=92",APPLIED
media,asset:multimedia/imagenes/categorias/2c8a47701b16d1dac245ea4437b1412efaa80708.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/2c8a47701b16d1dac245ea4437b1412efaa80708.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=160",APPLIED
media,asset:multimedia/imagenes/categorias/2f90e8bd3fd035a9da7cc88f5e54763dbe71eb65.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/2f90e8bd3fd035a9da7cc88f5e54763dbe71eb65.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=104",APPLIED
media,asset:multimedia/imagenes/categorias/30014f61ec40c649baa0fa4ea15a4e8b067e78e8.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/30014f61ec40c649baa0fa4ea15a4e8b067e78e8.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=96",APPLIED
media,asset:multimedia/imagenes/categorias/307fdf976b3d333b75e619efb8c145ab31e593dc.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/307fdf976b3d333b75e619efb8c145ab31e593dc.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=152",APPLIED
media,asset:multimedia/imagenes/categorias/3209bcc4f3913b7e093067ab4198c0dd1919285a.png,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/3209bcc4f3913b7e093067ab4198c0dd1919285a.png usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=140",APPLIED
media,asset:multimedia/imagenes/categorias/3406ae21b1fce7c365a914e031abdc7087b0025b.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/3406ae21b1fce7c365a914e031abdc7087b0025b.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=152",APPLIED
media,asset:multimedia/imagenes/categorias/36fd2d5b2f378a67bdd6ab16346bf83c1cd73038.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/36fd2d5b2f378a67bdd6ab16346bf83c1cd73038.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=148",APPLIED
media,asset:multimedia/imagenes/categorias/37b40cb15d4ce16f5ec13739e621730982b42b69.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/37b40cb15d4ce16f5ec13739e621730982b42b69.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=144",APPLIED
media,asset:multimedia/imagenes/categorias/381cccddca9068f4f928c85a45b3fbf221cae6a9.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/381cccddca9068f4f928c85a45b3fbf221cae6a9.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED|EXACT_DUPLICATE_BYTES original_ids=112",APPLIED
media,asset:multimedia/imagenes/categorias/3895266c5e9f7b5167566e2eb2f00061cee5ef27.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/3895266c5e9f7b5167566e2eb2f00061cee5ef27.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=128",APPLIED
media,asset:multimedia/imagenes/categorias/3c6f460cc1486506219239ca2b7e5a8e8ad87a60.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/3c6f460cc1486506219239ca2b7e5a8e8ad87a60.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED|EXACT_DUPLICATE_BYTES original_ids=100|132",APPLIED
media,asset:multimedia/imagenes/categorias/3ddaeb1071fba1aaf58c92e17454b6da7a867d65.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/3ddaeb1071fba1aaf58c92e17454b6da7a867d65.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=15",APPLIED
media,asset:multimedia/imagenes/categorias/42336e73dccedae9650caacf0b1fa34d2449b810.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/42336e73dccedae9650caacf0b1fa34d2449b810.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=80",APPLIED
media,asset:multimedia/imagenes/categorias/4642ed1152768003ba74c0c5b07deb1b7b6d25b5.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/4642ed1152768003ba74c0c5b07deb1b7b6d25b5.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED|EXACT_DUPLICATE_BYTES original_ids=112",APPLIED
media,asset:multimedia/imagenes/categorias/472af368af5ea63215b4fb5bf50b70333407565c.jpg,R-M02,REVIEW,SKIP,"media-master.csv:multimedia/imagenes/categorias/472af368af5ea63215b4fb5bf50b70333407565c.jpg usage_type=IMAGE_APPARENTLY_UNUSED|DERIVED original_ids=48",APPLIED
